"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_StuffedMushroomsBox_DN","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Gefüllte Pilze","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms","Stuffed Mushrooms",
"STR_CookZ_StuffedMushroomsBox_DS","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Zarte Pilze, gefüllt mit geschmolzenem Käse. Ein kleines, geschmackvolles Gericht, das perfekt als Snack oder Vorspeise dient.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.",
"STR_CookZ_StuffedMushroomsBox_Opened_DS","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Zarte Pilze, gefüllt mit geschmolzenem Käse. Ein kleines, geschmackvolles Gericht, das perfekt als Snack oder Vorspeise dient. Nach dem Öffnen rasch verzehren.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.",
"STR_CookZ_RabbitRoastBox_DN","Rabbit Roast","Rabbit Roast","Rabbit Roast","Kaninchenbraten","Rabbit Roast","Rabbit Roast","Rabbit Roast","Rabbit Roast","Rabbit Roast","Rabbit Roast","Rabbit Roast","Rabbit Roast","Rabbit Roast",
"STR_CookZ_RabbitRoastBox_DS","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Kaninchenkeulen, gebraten mit Paprika und Tomaten. Ein kräftiges Gericht aus einfachen Zutaten.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.",
"STR_CookZ_RabbitRoastBox_Opened_DS","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Kaninchenkeulen, gebraten mit Paprika und Tomaten. Ein kräftiges Gericht aus einfachen Zutaten. Nach dem Öffnen rasch verzehren.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.",
"STR_CookZ_NuggiesAndFriesBox_DN","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Hähnchennuggets und Pommes","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries","Nuggies And Fries",
"STR_CookZ_NuggiesAndFriesBox_DS","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Knusprige Hähnchennuggets, serviert mit Pommes. Ein schnelles, sättigendes Essen, das immer geht.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.",
"STR_CookZ_NuggiesAndFriesBox_Opened_DS","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Knusprige Hähnchennuggets, serviert mit Pommes. Ein schnelles, sättigendes Essen, das immer geht. Nach dem Öffnen rasch verzehren.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.",
"STR_CookZ_SchnitzelBox_DN","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel","Schnitzel",
"STR_CookZ_SchnitzelBox_DS","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Dünn geschnittenes Fleisch, paniert und goldbraun gebraten. Ein unkompliziertes Gericht, das immer satt macht.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.",
"STR_CookZ_SchnitzelBox_Opened_DS","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Dünn geschnittenes Fleisch, paniert und goldbraun gebraten. Ein unkompliziertes Gericht, das immer satt macht. Nach dem Öffnen rasch verzehren.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.",
"STR_CookZ_BiffALaNelsonBox_DN","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson",
"STR_CookZ_BiffALaNelsonBox_DS","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Zartes Fleisch, serviert mit Kartoffeln und einer würzigen Biersoße. Einfache Zutaten, aber voller Geschmack.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.",
"STR_CookZ_BiffALaNelsonBox_Opened_DS","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Zartes Fleisch, serviert mit Kartoffeln und einer würzigen Biersoße. Einfache Zutaten, aber voller Geschmack. Nach dem Öffnen rasch verzehren.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.",
"STR_CookZ_PorkAndAppleBox_DN","Pork And Apple","Pork And Apple","Pork And Apple","Schweinehaxe mit Apfelsoße","Pork And Apple","Pork And Apple","Pork And Apple","Pork And Apple","Pork And Apple","Pork And Apple","Pork And Apple","Pork And Apple","Pork And Apple",
"STR_CookZ_PorkAndAppleBox_DS","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Knusprige Schweinehaxe serviert mit einer fruchtigen Apfelsoße und kräftigen Kartoffeln. Ein reichhaltiges, rustikales Gericht mit einer süßen Note.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.",
"STR_CookZ_PorkAndAppleBox_Opened_DS","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Knusprige Schweinehaxe serviert mit einer fruchtigen Apfelsoße und kräftigen Kartoffeln. Ein reichhaltiges, rustikales Gericht mit einer süßen Note. Nach dem Öffnen rasch verzehren.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness. Eat up before it spoils.",
"STR_CookZ_ChickenCordonBleuBox_DN","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Hähnchen Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu","Chicken Cordon Bleu",
"STR_CookZ_ChickenCordonBleuBox_DS","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Paniertes Hähnchenbrustfilet, gefüllt mit geschmolzenem Käse. Ein einfaches, aber sättigendes Gericht mit knuspriger Hülle und cremiger Füllung.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling.",
"STR_CookZ_ChickenCordonBleuBox_Opened_DS","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Paniertes Hähnchenbrustfilet, gefüllt mit geschmolzenem Käse. Ein einfaches, aber sättigendes Gericht mit knuspriger Hülle und cremiger Füllung. Nach dem Öffnen rasch verzehren.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.","Breaded chicken breast stuffed with melted cheese. A simple yet satisfying dish with a crispy exterior and creamy filling. Eat up before it spoils.",
"STR_CookZ_RatatouilleBox_DN","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille",
"STR_CookZ_RatatouilleBox_DS","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","Eine herzhafte Gemüse-Mischung aus Zucchini, Kartoffeln, Paprika und Tomaten, langsam gegart, um die natürlichen Aromen zu entfalten. Ein leichtes und gesundes Gericht.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish.",
"STR_CookZ_RatatouilleBox_Opened_DS","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","Eine herzhafte Gemüse-Mischung aus Zucchini, Kartoffeln, Paprika und Tomaten, langsam gegart, um die natürlichen Aromen zu entfalten. Ein leichtes und gesundes Gericht. Nach dem Öffnen rasch verzehren.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.","A savory vegetable medley featuring zucchini, potatoes, peppers, and tomatoes, all slow-cooked to bring out their natural flavors. A light and wholesome dish. Eat up before it spoils.",
"STR_CookZ_BakedPotatoVegBox_DN","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Ofenkartoffel mit Gemüse","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables","Baked Potato With Vegetables",
"STR_CookZ_BakedPotatoVegBox_DS","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","Eine gebackene Kartoffel, belegt mit einer Mischung aus Zucchini, Paprika, Tomaten und geschmolzenem Käse. Ein sättigendes, gemüsereiches Gericht.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal.",
